"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","Verify Valid Login","Google Chrome","2026-05-28","failed","2026-05-28","","Login.spec.ts","",""
"","4","Verify InValid Login","chromium","2026-05-28","failed","2026-05-28","","Login.spec.ts","",""
"","4","Verify Valid Login","chromium","2026-05-28","failed","2026-05-28","","Login.spec.ts","",""
"","4","Verify InValid Login","firefox","2026-05-28","failed","2026-05-28","","Login.spec.ts","",""
"","5","Verify Valid Login","webkit","2026-05-28","failed","2026-05-28","","Login.spec.ts","",""
"","5","Verify InValid Login","webkit","2026-05-28","failed","2026-05-28","","Login.spec.ts","",""
"","4","Verify Valid Login","Microsoft Edge","2026-05-28","failed","2026-05-28","","Login.spec.ts","",""
"","4","Verify InValid Login","Microsoft Edge","2026-05-28","failed","2026-05-28","","Login.spec.ts","",""
"","4","Verify Valid Login","firefox","2026-05-28","failed","2026-05-28","","Login.spec.ts","",""
"","4","Verify InValid Login","Google Chrome","2026-05-28","failed","2026-05-28","","Login.spec.ts","",""
